win_team,lose_team,probability
Golden State Warriors,Milwaukee Bucks,0.7585305359308453
New Orleans Pelicans,Memphis Grizzlies,0.8380601016892765
Indiana Pacers,Orlando Magic,0.6772928764941879
Miami Heat,Phoenix Suns,0.7320723487646627
San Antonio Spurs,Los Angeles Lakers,0.7853955211505701
Denver Nuggets,Atlanta Hawks,0.6156020940884009
Boston Celtics,Chicago Bulls,0.8997164463156931
Cleveland Cavaliers,Washington Wizards,0.6837697656546958
Houston Rockets,Dallas Mavericks,0.8919159645403043
Indiana Pacers,Sacramento Kings,0.8482028155421797
Los Angeles Clippers,Miami Heat,0.5058770758623963
Los Angeles Lakers,Memphis Grizzlies,0.6867765219332737
Brooklyn Nets,New York Knicks,0.5690542788975672
Portland Trail Blazers,Minnesota Timberwolves,0.5440175734147498
New Orleans Pelicans,Detroit Pistons,0.5703421473350055
Charlotte Hornets,New York Knicks,0.5063693688006474
Utah Jazz,San Antonio Spurs,0.5209472088179683
Toronto Raptors,Milwaukee Bucks,0.7716156660127094
Boston Celtics,New Orleans Pelicans,0.6700851863733621
Sacramento Kings,Chicago Bulls,0.5053289022626248
Orlando Magic,Dallas Mavericks,0.5436070830206319
Denver Nuggets,Memphis Grizzlies,0.8740925501119744
Golden State Warriors,Minnesota Timberwolves,0.7592940418542675
Indiana Pacers,Washington Wizards,0.711489336718369
Miami Heat,Los Angeles Lakers,0.6436594326888567
Cleveland Cavaliers,Milwaukee Bucks,0.6782278166286789
Utah Jazz,Oklahoma City Thunder,0.6498398024868124
Philadelphia 76ers,Detroit Pistons,0.6771953763974649
Los Angeles Clippers,Phoenix Suns,0.5226514688437536
Houston Rockets,Portland Trail Blazers,0.7459419156513691
Toronto Raptors,Los Angeles Clippers,0.5249720860513041
San Antonio Spurs,Phoenix Suns,0.8441775725725916
Charlotte Hornets,Detroit Pistons,0.6744402048181604
Cleveland Cavaliers,New York Knicks,0.7710067327394649
Dallas Mavericks,Atlanta Hawks,0.544686425995409
Golden State Warriors,Toronto Raptors,0.7269303756208675
Indiana Pacers,Milwaukee Bucks,0.6741538968420002
Portland Trail Blazers,Memphis Grizzlies,0.8358602646840396
Oklahoma City Thunder,New Orleans Pelicans,0.5388604079052413
Philadelphia 76ers,Brooklyn Nets,0.7013525068607107
Minnesota Timberwolves,Sacramento Kings,0.6876973583680469
Miami Heat,Utah Jazz,0.5045769540830921
Boston Celtics,Washington Wizards,0.693517520525688
Houston Rockets,Los Angeles Lakers,0.8721090067684477
Orlando Magic,Chicago Bulls,0.658831128825523
Dallas Mavericks,Phoenix Suns,0.5929250972236306
San Antonio Spurs,Los Angeles Clippers,0.8227977964667578
Boston Celtics,Atlanta Hawks,0.8883838957758717
Washington Wizards,Brooklyn Nets,0.676130496320213
Charlotte Hornets,New York Knicks,0.7150593677881023
Cleveland Cavaliers,Milwaukee Bucks,0.6446388322664188
Denver Nuggets,Oklahoma City Thunder,0.5344500417941561
Miami Heat,Memphis Grizzlies,0.811770878102284
Philadelphia 76ers,Indiana Pacers,0.5309405051690079
Portland Trail Blazers,Toronto Raptors,0.501704537123747
Golden State Warriors,Sacramento Kings,0.8232299040905884
Charlotte Hornets,Los Angeles Lakers,0.6847605235222229
Boston Celtics,Detroit Pistons,0.7637280573534901
Houston Rockets,Memphis Grizzlies,0.9221806166572973
Oklahoma City Thunder,Los Angeles Clippers,0.7312397760879619
Utah Jazz,Orlando Magic,0.8112565023028337
Minnesota Timberwolves,Phoenix Suns,0.7229083563992025
San Antonio Spurs,Chicago Bulls,0.8841619454030666
Brooklyn Nets,Atlanta Hawks,0.5411289747944269
Cleveland Cavaliers,Philadelphia 76ers,0.5263479554300828
Dallas Mavericks,Sacramento Kings,0.5240404692668633
Denver Nuggets,Toronto Raptors,0.5671460205185838
Indiana Pacers,New York Knicks,0.7933900358406333
New Orleans Pelicans,Miami Heat,0.5249599032403303
Washington Wizards,Los Angeles Lakers,0.6977708360062956
Detroit Pistons,Milwaukee Bucks,0.5014979840151691
Golden State Warriors,Memphis Grizzlies,0.9337965922937282
Houston Rockets,Utah Jazz,0.6314651540647453
Portland Trail Blazers,Los Angeles Clippers,0.5356085602586781
Minnesota Timberwolves,Sacramento Kings,0.8646709219035899
New York Knicks,Phoenix Suns,0.512204313318945
Oklahoma City Thunder,Chicago Bulls,0.8172685115026272
San Antonio Spurs,Philadelphia 76ers,0.5825435963148463
Washington Wizards,Atlanta Hawks,0.6402243034412941
Los Angeles Lakers,Brooklyn Nets,0.6076726554843912
Denver Nuggets,Dallas Mavericks,0.7355154592628106
Indiana Pacers,Cleveland Cavaliers,0.5549983779500838
Boston Celtics,Phoenix Suns,0.865781723027165
Brooklyn Nets,Chicago Bulls,0.616642726426062
Cleveland Cavaliers,Charlotte Hornets,0.5509500888499569
Houston Rockets,Washington Wizards,0.8349647601518574
New Orleans Pelicans,Milwaukee Bucks,0.6291874826369548
Minnesota Timberwolves,Detroit Pistons,0.7837744865347361
San Antonio Spurs,Orlando Magic,0.6544703262849746
Philadelphia 76ers,New York Knicks,0.7176147132235963
Portland Trail Blazers,Memphis Grizzlies,0.8421404330115457
Oklahoma City Thunder,Sacramento Kings,0.748623195163181
Toronto Raptors,Indiana Pacers,0.7363660165255901
Golden State Warriors,Utah Jazz,0.672846890659548
Los Angeles Clippers,Dallas Mavericks,0.6575963236072317
Houston Rockets,Miami Heat,0.7833440742651818
Boston Celtics,Milwaukee Bucks,0.7306276941328158
Indiana Pacers,Brooklyn Nets,0.7506218737405956
Orlando Magic,Chicago Bulls,0.5725897363924328
Charlotte Hornets,Detroit Pistons,0.6744402048181604
New Orleans Pelicans,Los Angeles Lakers,0.6633271614824199
New York Knicks,Atlanta Hawks,0.5643904921385258
